City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,82.49,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
5,Hobart,AU,76.01,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
22,Rikitea,PF,79.09,light rain,-23.1203,-134.9692,People ThankYou
28,Georgetown,MY,87.75,few clouds,5.4112,100.3354,Cititel Penang
36,Tonj,SS,77.97,scattered clouds,7.2737,28.6822,Lakan Hotel
38,Limbang,MY,86.11,overcast clouds,4.75,115.0,Purnama Hotel
39,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
41,Ahipara,NZ,76.39,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
44,Atuona,PF,77.54,light rain,-9.8,-139.0333,Villa Enata
46,Auki,SB,77.76,heavy intensity rain,-8.7676,160.7034,Auki Motel
64,Maracaibo,VE,77.94,scattered clouds,10.6317,-71.6406,Motel Aladdin
68,Tutoia,BR,78.17,overcast clouds,-2.7619,-42.2744,Pousada Guará's
73,Bandrele,YT,80.35,light rain,-12.9067,45.1914,Les Baobabs
75,Souillac,MU,83.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
80,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
84,Bairiki,KI,84.2,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
85,Bengkulu,ID,82.92,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
95,Kapaa,US,75.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
96,Victoria,HK,75.96,few clouds,22.2855,114.1577,Mini Hotel Central
97,East London,ZA,76.14,few clouds,-33.0153,27.9116,Tu Casa
100,Iralaya,HN,77.31,clear sky,15.0,-83.2333,Iglesia morava renovada
102,Lorengau,PG,81.95,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
104,Hithadhoo,MV,81.32,overcast clouds,-0.6,73.0833,Scoop Guest House
106,Kudahuvadhoo,MV,81.27,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
118,Kavaratti,IN,80.6,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
120,Cap Malheureux,MU,84.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
131,The Valley,AI,77.09,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
136,Rahimatpur,IN,79.25,scattered clouds,17.6,74.2,Swami Prasad Ice-cream parlor
140,Axim,GH,77.47,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
141,Faanui,PF,81.86,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
142,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
146,Ailigandi,PA,78.13,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
149,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
155,Amnat Charoen,TH,89.38,overcast clouds,15.9167,104.75,หอพักนักศึกษา
158,Jati,PK,77.45,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
159,Kailua,US,75.49,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
163,Moerai,PF,80.02,overcast clouds,-22.4333,-151.3333,Le Manotel
166,Saint-Philippe,RE,83.79,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
168,Cockburn Town,TC,77.49,clear sky,21.4612,-71.1419,Osprey Beach Hotel
172,Sao Filipe,CV,79.03,overcast clouds,14.8961,-24.4956,Hotel Xaguate
178,Victor Harbor,AU,89.47,clear sky,-35.5667,138.6167,McCracken Country Club
179,Buala,SB,77.5,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
183,Xai-Xai,MZ,80.37,clear sky,-25.0519,33.6442,Complexo da Familia
189,Samarai,PG,83.19,scattered clouds,-10.6167,150.6667,Nuli Sapi
192,New Norfolk,AU,75.65,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
195,Monrovia,LR,76.87,clear sky,6.3005,-10.7969,Sunset Inn
197,Oron,NG,77.0,clear sky,4.8256,8.2343,Aqua Belloni Lodge
199,Ugoofaaru,MV,81.32,overcast clouds,5.6667,73.0,Ungoofaaru Inn
200,Port Blair,IN,86.04,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
201,Nelson Bay,AU,76.28,broken clouds,-32.7167,152.15,Mantra Nelson Bay
203,Geraldton,AU,82.81,few clouds,-28.7667,114.6,Broadwater Mariner Resort
