City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.0707,172.7902,82.49,75,86,16.64,overcast clouds
1,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,19.99,45,0,2.24,clear sky
2,Mataura,NZ,-46.1927,168.8643,57.47,52,83,8.14,broken clouds
3,Busselton,AU,-33.65,115.3333,71.04,54,63,13.02,broken clouds
4,Rocha,UY,-34.4833,-54.3333,67.44,97,98,4.12,overcast clouds
5,Hobart,AU,-42.8794,147.3294,76.01,47,20,10.36,few clouds
6,Louga,RU,58.7372,29.8453,19.24,95,99,7.34,overcast clouds
7,Tiksi,RU,71.6872,128.8694,-9.35,91,91,16.78,overcast clouds
8,Castro,BR,-24.7911,-50.0119,56.73,99,13,5.01,few clouds
9,Khatanga,RU,71.9667,102.5,0.48,86,90,11.81,overcast clouds
10,Bam,IR,29.106,58.357,63.46,19,0,3.42,clear sky
11,Portland,US,45.5234,-122.6762,55.98,41,20,11.5,few clouds
12,Sorland,NO,67.667,12.6934,32.34,60,76,20.24,light snow
13,Mongoumba,CF,3.6415,18.5936,71.83,30,97,2.95,overcast clouds
14,Mao,ES,39.8885,4.2658,45.16,87,20,5.75,few clouds
15,Nikolskoye,RU,59.7035,30.7861,23.81,93,38,7.11,scattered clouds
16,Tasiilaq,GL,65.6145,-37.6368,8.76,60,91,4.43,overcast clouds
17,Lavrentiya,RU,65.5833,-171.0,-25.42,92,8,8.01,clear sky
18,Katherine,AU,-14.4667,132.2667,97.12,46,40,4.61,scattered clouds
19,Punta Arenas,CL,-53.15,-70.9167,57.31,72,75,34.52,broken clouds
20,Pevek,RU,69.7008,170.3133,-30.77,100,96,6.42,overcast clouds
21,Ushuaia,AR,-54.8,-68.3,53.26,58,40,48.34,scattered clouds
22,Rikitea,PF,-23.1203,-134.9692,79.09,74,4,17.63,light rain
23,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,82,95,6.04,overcast clouds
24,Okhotsk,RU,59.3833,143.3,-0.02,82,34,6.62,scattered clouds
25,Port Alfred,ZA,-33.5906,26.891,74.73,83,29,7.18,scattered clouds
26,Saskylakh,RU,71.9167,114.0833,2.25,80,79,14.09,broken clouds
27,Chuy,UY,-33.6971,-53.4616,70.11,91,68,4.97,broken clouds
28,Georgetown,MY,5.4112,100.3354,87.75,70,20,5.01,few clouds
29,Rybachiy,RU,48.7073,44.7449,35.46,96,100,4.81,overcast clouds
30,Rawson,AR,-43.3002,-65.1023,61.83,47,90,15.97,overcast clouds
31,Cadillac,US,44.2519,-85.4012,18.72,79,100,13.8,overcast clouds
32,Chokurdakh,RU,70.6333,147.9167,-2.79,95,100,13.44,overcast clouds
33,Liverpool,GB,53.4106,-2.9779,45.82,78,75,5.01,broken clouds
